t,x,y,z,prank,etype,uidx,eidx,rho,u,v,w,p
0.0020356382228148974,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0945460859815679,34.65302798496016,5.413182002111666e-09,-7.3063588461127935,90028.00490784194
0.0020426613608755325,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0945581015026904,34.65189287113251,3.2754442571823056e-09,-7.3052514791430765,90029.4290724631
0.002049803450028199,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0945674369827414,34.65145120608564,1.2209323623446145e-10,-7.3036279748537964,90030.53665186411
0.0020569521146468197,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0945749550216637,34.65144322210697,-2.8841689814305745e-09,-7.301252223054846,90031.42586781345
0.0020642521332431044,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0945804140264859,34.65198706770173,-5.363618069483135e-09,-7.298059932937407,90032.06955968513
0.002071099454781625,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0945836778287916,34.6529272305583,-5.495978369374084e-09,-7.294404929137684,90032.45217218627
0.0020786294738109985,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0945852220514198,34.654340252110785,-2.977372326502299e-09,-7.289774933065821,90032.63020157609
0.002086030434113181,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0945843380509028,34.656185155016985,1.0531800939398785e-09,-7.28482817694555,90032.52200690722
0.002093404830957715,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.09458239153561,34.65817387025337,3.917496314817933e-09,-7.279675333086271,90032.28546231317
0.0021007965168376498,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0945814686124735,34.65976476750905,4.826171653934237e-09,-7.274562013565221,90032.1609794441
0.002108410150585404,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0945813434131801,34.66107250948511,2.101105559491865e-09,-7.269962028761764,90032.1220227059
0.0021156465201822667,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0945824418943202,34.66188355561048,-1.3243616390764663e-09,-7.266674473616106,90032.22022304223
0.002122434625260049,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.094584870918598,34.66220989515895,-2.4139986435273242e-09,-7.264827881772611,90032.46975599541
0.002129739742556021,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.094589676038604,34.6619210086144,-4.579230195558423e-09,-7.264430459734356,90032.98793742861
0.0021366716081074825,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.094596520467582,34.6609770943869,-4.691790655531136e-09,-7.265818871932981,90033.74174213996
0.002144298187624452,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0946063798693286,34.659212149825,-3.746983642642847e-09,-7.269499020522596,90034.84019365527
0.002151352628059097,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.09461729861282,34.65695413635309,-2.409814384906418e-09,-7.274977117911151,90036.06604943717
0.002158513550453006,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0946295957638743,34.65420756612244,3.213655174330129e-10,-7.2825940688404875,90037.45418434699
0.0021661548957166736,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0946441514728025,34.65076196587272,4.217950192392899e-09,-7.292815550461669,90039.1058545204
0.0021733285832023406,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0946582870004715,34.64735138197774,3.973397473653866e-09,-7.304023127140151,90040.71561644184
0.00218031382795627,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0946716705072903,34.64425542234655,3.0341074494489802e-09,-7.315848120202751,90042.2431031684
0.0021879333052017822,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0946863515983376,34.64116434188877,7.494725071123273e-10,-7.328870677077625,90043.92153798307
0.0021955708354741564,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.094701518532187,34.638460578690726,-2.3522077553998166e-09,-7.341171896834374,90045.65675046884
0.002203050552169336,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0947167213479685,34.63638477456222,-4.336084795313506e-09,-7.351673143995672,90047.39522740027
0.00221024650828845,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0947315914809843,34.63499301764824,-3.66802819818031e-09,-7.359607495861314,90049.09353292942
0.002217526228731938,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0947469640374727,34.63419284655983,-7.56798464712735e-10,-7.364882290090709,90050.84669852299
0.002225053620509629,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0947633443072031,34.63397192619206,2.4586130031483203e-09,-7.366985141506933,90052.71271130395
0.0022321383027699647,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.094779036683464,34.63433420775295,2.5445670754506777e-09,-7.36564824393173,90054.49939407417
0.0022395024083246523,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0947954454618731,34.63526140908534,2.895965257271234e-09,-7.360857696176191,90056.36813758983
0.0022468181339999776,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0948119233939508,34.63658868061906,3.4871900797049126e-09,-7.352865272949054,90058.24724921194
0.0022538795730071763,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0948277467881042,34.63818929323129,3.1309642830831897e-09,-7.342480265015725,90060.0553660152
0.002261376524798289,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.094844274058812,34.640096787774226,-7.516836504321002e-10,-7.329201562389912,90061.94885614452
0.0022686711640908124,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0948601681966614,34.64189570775644,-3.243605655871606e-09,-7.314852805581062,90063.77519453231
0.002276480505711107,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0948761296472904,34.64369404349868,-2.3314932387147745e-09,-7.29898465751462,90065.61446700185
0.0022842742316706043,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0948902809847536,34.645237707175504,-4.2558953761812334e-10,-7.28371869464373,90067.24947512888
0.0022914188279383532,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0949014109564943,34.64627133235357,-7.02012834072324e-10,-7.271232473939727,90068.53802958775
0.002298901239038769,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0949116375022674,34.64665127990865,1.1645981706025827e-09,-7.260653943364954,90069.72294071261
0.0023060498731635837,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0949197686762784,34.64632346727272,3.3702836779596047e-09,-7.253558292976855,90070.66469888434
0.0023134763966618883,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.094925592520523,34.645485986325006,3.5935170401291773e-09,-7.249678510476501,90071.33813392017
0.0023204422406591547,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0949280978255664,34.644437669178586,1.7686226415269601e-09,-7.249538157730861,90071.62602296386
